Course_Code,Course_Name,Taught_in_English,Total_Sections,SectionsCB542,Data Mining and Its Applications in Biomedical Domains,False,1,
EEC207,Electronic Circuits Lab.II Teaching in English,True,1,A
EEC208,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,False,1,A
EEC214,Semiconductor Optics,False,1,A
EEC215,Semiconductor Optics Laboratory,False,2,"A, B"
EEC216,Electrical Topics,False,1,A
EEC308,ElectromagneticsII 智慧電網學程,False,1,A
EEC313,Photonics Industry 通訊產業與管理學程（電通學院） 通訊產業與管理學程（管院）,False,1,A
EEC321,Electro-Optics Programming,False,1,A
EEC323,Photonics Applications of Embedded Systems,False,1,A
EEC414,Colorimetry 數位科技應用學程,False,1,A
EG003,Fundamental Computer ProgrammingI,False,2,"A, B"
EG005,Fundamental Computer ProgrammingII,False,2,"A, B"
EG007,Fundamental Computer Programming I,False,2,"A, B"
EG008,Fundamental Computer Programming I 智慧製造學程,True,3,"A, B, C"
EG009,Fundamental Computer ProgrammingII,False,2,"A, B"
EG010,Fundamental Computer ProgrammingII 智慧製造學程,True,3,"A, B, C"
EG201,Introduction to Intelligent Production 工業4.0－智慧生產學程 智慧製造學程,False,2,A
EI101,CalculusI Teaching in English,True,1,A
EI103,General PhysicsI Teaching in English,True,2,"A, B"
EI105,Introduction to Computer Science Teaching in English,True,1,A
EI109,Programming Language LabsI Teaching in English,True,1,A
EI111,Science and Technology English Conversation Teaching in English,True,1,A
EI115,Linear Algebra Teaching in English,True,1,A
EI201,ElectronicsI Teaching in English,True,1,A
EI203,Engineering MathematicsI Teaching in English,True,1,A
EI205,Circuit Theory Teaching in English,True,1,A
EI207,Electronic Circuits ExperimentsI Teaching in English,True,1,A
EI209,Science and Technology English Writing Teaching in English 專業科技傳播學程,True,1,A
EI211,Probability for Engineers,False,2,"A, B"
EI219,Data Structures,False,2,"A, B"
EI221,Innovations in Medical High-Tech Applications Teaching in English,True,1,A
EN001,Fundamental Computer Programming- PythonI,False,1,A
EN003,Fundamental Computer Programming-C 智慧電網學程 數位科技應用學程,False,2,"A, B"
EN004,Fundamental Computer Programming- Python 人工智慧學程,True,3,"A, B, C"
IC116,Photography,False,1,A
IC120,Digital Image Processing Teaching in English,True,2,"A, B"
IC145,Fundamentals of ArtsI: Drawing,False,1,A
IC151,Introduction to Design Principles Teaching in English,True,2,"A, B"
IC168,Fundamentals of ArtsII: Creative Drawing,False,1,A
IC172,Data Structure,False,1,A
IC175,Design History,False,1,A
IC181,Introduction to Computer Science Teaching in English,True,2,"A, B"
IC184,Computer ProgrammingI,False,1,A
IC189,Mixed Media Design,False,1,A
IC191,Color Theory,False,1,A
IC192,Computer ProgrammingII,False,1,A
IC194,Principles of Animation,False,1,A
IC196,Mixed Reality 互動媒體學程 含微學程,False,1,A
IC200,Computer Programming Lab.II,False,2,"A, B"
IC205,Computer Graphics Design,False,1,A
IC212,Computer Programming,False,1,A
IC224,General Physics,False,1,A
IC225,Interactive Script Production,False,1,A
IC238,Windows Programming,False,1,A
IC242,Game Planning,False,1,A
IC248,Linear Algebra,False,1,A
IC249,Case Study on Cultural Industries,False,1,A
IC256,Creativity Techniques 互動媒體學程 含微學程,False,1,A
IC272,Illustration,False,1,A
IC275,Java Programming,False,1,A
IC286,Computer Programming Lab.I,False,2,"A, B"
IC287,Introduction to Calculus,False,1,A
IC294,Designing Wearable Technology I Teaching in English,True,1,A
IC296,Creative Media Practice,False,2,A
IC297,Exhibition Display Technology Teaching in English 互動多媒體微學程 互動多媒體學程 互動媒體學程 含微學程,True,1,A
IC322,Advanced Film and Video Production Workshop,False,1,A
IC324,Cross-Media Integration,False,1,A
IC326,Portfolio Design and Presentation,False,2,"A, B"
IC331,Analysis for Social Media Services,False,1,A
IC336,Computer Programming Lab.,False,1,A
IC337,3D Computer Animation,False,1,A
IC340,Introduction to Multimedia,False,1,A
IC341,Fundamentals of Digital Audiovisual Design Teaching in English,True,2,"A, B"
IC344,Human Computer Interaction Application Teaching in English,True,1,A
IC346,Virtual Reality Teaching in English 互動媒體學程 含微學程,True,1,A
IC347,Visual Effects for Film and Video,False,1,A
IC348,Topics on ICT & Innovation,False,1,A
IC349,User-Interface Design 互動多媒體微學程 互動多媒體學程,False,1,A
IC350,Marketing Technology,False,1,B
IC362,Intellectual Property,False,1,A
IE110,CalculusII,False,1,A
IE114,Engineering Graphics,False,2,"A, B"
IE124,Linear Algebra Teaching in English,True,2,"A, B"
IE211,Work Study,False,2,"A, B"
IE233,Research Methodology,False,2,"A, B"
IE237,Statistical Modeling and Computerized Implementations 人因工程與設計 工業4.0－智慧生產學程,False,1,A
IE301,Industrial Accounting,False,1,A
IE312,Logistics Management 電子化供應鏈,False,1,A
IE329,Operations ResearchII Teaching in English,True,2,"A, B"
IE337,Practical Electronic Commerce 電子化供應鏈,False,1,A
IE342,Procurement Management 電子化供應鏈,False,1,A
IE346,General Printed Circuit Board Technology 工業4.0－智慧生產學程,False,1,A
IE348,Production Planning and ControlII Teaching in English,True,2,"A, B"
IE349,Facilities Planning,False,2,"A, B"
IE354,Cloud Computing Technology and Services,False,1,A
IE376,Quality Management in Healthcare,False,1,A
IE503,Simulation Teaching in English,True,1,A
IE507,Mathematical ProgrammingI Teaching in English,True,1,A
IE520,Taguchi Quality Engineering,False,1,B
IE531,Advanced Quality Control,False,1,B
IE538,Experimental Design and Applications,False,1,A
IE541,Decision Analysis,False,1,B
IE543,Production Planning,False,1,B
IE565,Human Factors,False,1,B
IE581,Service Systems Design Teaching in English,True,1,A
IE586,Seminar,False,1,A
IE593,Advanced Production Control,False,1,B
IE625,Big Data Analytics Teaching in English,True,1,A
IE630,Advanced Project Management Teaching in English,True,1,A
IE631,Sustainable Development,False,1,A
IH210,Introduction to Computer Graphics in Design II Teaching in English,True,1,A
IM112,Basic Computer Concepts,False,2,"A, B"
IM119,ProgrammingI 資訊安全微學程 數據分析微學程,False,4,"A1, B, C"
IM120,ProgrammingII,False,4,"A, B"
IM121,Accounting,False,2,C1
IM122,Economics,False,1,A
IM127,CalculusⅠ,False,1,A
IM128,CalculusⅡ,False,2,A
IM132,Management Information Systems Teaching in English 資訊安全微學程 電子化企業學程,True,4,"A, B"
IM214,Fundamental of Data Structures,False,2,"A, B"
IM216,Discrete Mathematics,False,2,"A, B"
IM230,Introduction to Multimedia,False,2,C
IM231,StatisticsⅠ,False,1,A
IM236,Introduction to Data Analytics 「社會數據分析」跨領域微學程 數據分析微學程,False,1,C
IM241,Digital Marketing in Practice 電子化企業學程,False,1,C
IM242,Introduction to Business Management 電子化企業學程,False,2,"A, B"
IM323,Computer Networks 資訊安全微學程,False,1,C
IM334,Introduction to Information Security Management 資訊安全微學程,False,2,C
IM409,Information and Law 電子化供應鏈,False,1,C
IM501,SeminarI,False,1,A
IM504,Intelligent Management Systems,False,1,A
IM507,Decision Support Systems Teaching in English,True,1,A1
IM508,SeminarII,False,1,A
IM514,Business Research Method,False,1,B
IM531,Problem Solving and Decision Making Teaching in English,True,1,A
IM532,Knowledge Discovery and Data Mining,False,1,A
IM542,Fuzzy Systems Theory and Applications,False,1,A
IM547,Seminar on Information Technology Management Teaching in English,True,1,A
IM564,E-Business Management,False,1,A
IM574,Special Topics in e-Business,False,1,A
IM591,Information Management Theory and Practice Teaching in English,True,2,"A, B"
IM592,Business Administration Theory and Practice Teaching in English,True,2,"A, B"
IM593,Quantitative Method Decision Making,False,2,"B, A"
IM595,Vocational Training,False,1,A
IM606,SeminarIV,False,1,A
IM608,Applied ProjectII,False,1,B
IM620,Information Security,False,2,"A, B"
IM628,Applied Project,False,1,S
IM701,Introduction to Data Science,False,2,"A, B"
IM712,Machine Learning,False,1,A
IM716,Machine Learning II Predictive Modelling,False,1,A
IM717,Social Network Data Analytics,False,1,B
IM720,Financial Data Analytics,False,1,B
IM736,Social Media Analytics,False,1,A
IM802,Information Industry and Regulation Teaching in English,True,1,A
IM803,Information and Social Innovation,False,2,"B, S"
IM831,Information Ethics,False,1,B
IM838,Digital Governance,False,1,B
IM901,Seminar in Advanced Information ManagementI,False,1,A
IM902,Seminar in Advanced Information ManagementII,False,1,A
IM903,Seminar in Advanced Information ManagementIII,False,1,A




